Date,Symbols,Close,High,Low,Open,Volume
2021-10-25,PFE,43.15,43.24,42.57,43.2,22846241
2021-10-25,BNTX,294.92,295.51,278.6765,278.6765,2852958
2021-10-25,MRNA,349.56,350.06,323.27,327.36,9772171
2021-10-22,AMZN,3335.55,3429.84,3331.3,3421.0,3139053
2021-10-22,GOOGL,2751.33,2811.655,2721.12,2783.0,2529448
2021-10-22,FB,324.61,329.63,321.11,326.345,35224543
2021-10-22,PFE,43.16,43.19,42.63,42.82,17183013
2021-10-22,BNTX,278.34,295.815,268.05,294.78,3558919
2021-10-22,MRNA,326.54,335.75,317.18,332.539,7780241
2021-10-21,AMZN,3435.01,3440.28,3403.0,3414.25,1881385
2021-10-21,GOOGL,2837.72,2843.12,2810.0,2835.38,1314613
2021-10-21,FB,341.88,342.31,337.8,340.275,16354423
2021-10-21,PFE,42.86,43.09,42.43,43.055,22142324
2021-10-21,BNTX,286.36,286.799,275.03,276.6,2558793
2021-10-21,MRNA,339.57,341.52,333.4001,337.21,5597599
2021-10-20,AMZN,3415.06,3462.86,3400.37,3452.66,2139777
2021-10-20,GOOGL,2835.38,2870.9218,2827.53,2866.76,1164403
2021-10-20,FB,340.78,343.98,339.4531,343.445,13639465
2021-10-20,PFE,42.8,43.11,42.1,42.12,22788277
2021-10-20,BNTX,269.42,273.97,265.0001,268.73,2029221
2021-10-20,MRNA,333.01,338.6,329.36,334.01,4983222
2021-10-19,AMZN,3444.15,3454.69,3422.0,3434.29,2386079
2021-10-19,GOOGL,2864.74,2873.25,2852.0,2867.75,1008150
2021-10-19,FB,339.99,342.46,337.28,339.645,18786316
2021-10-19,PFE,42.09,42.2,41.5418,41.6,17159787
2021-10-19,BNTX,262.85,282.0,262.0,273.0,3854495
2021-10-19,MRNA,333.61,347.87,331.0101,339.105,8561130
2021-10-18,AMZN,3446.74,3449.17,3385.1,3388.3576,3174115
2021-10-18,GOOGL,2855.56,2855.92,2821.389,2821.53,1019808
2021-10-18,FB,335.34,335.89,327.5,328.95,21585018
2021-10-18,PFE,41.32,41.7,41.04,41.45,21732991
2021-10-18,BNTX,261.09,261.13,245.03,245.34,2011888
2021-10-18,MRNA,334.84,338.54,320.5371,322.26,8753671
2021-10-15,AMZN,3409.02,3410.42,3304.0,3311.42,5179941
2021-10-15,GOOGL,2827.36,2834.36,2815.1,2832.29,1513722
2021-10-15,FB,324.76,329.07,322.51,328.68,21596370
2021-10-15,PFE,41.49,42.03,41.38,41.9,23550344
2021-10-15,BNTX,247.68,252.8,245.28,252.8,1654029
2021-10-15,MRNA,324.21,341.5494,318.5,341.01,17239834
2021-10-14,AMZN,3299.86,3312.6,3290.78,3302.4541,2112020
2021-10-14,GOOGL,2823.02,2826.745,2776.5,2789.4761,1596397
2021-10-14,FB,328.53,330.52,327.1,328.355,14302154
2021-10-14,PFE,41.67,41.9565,41.515,41.56,17590308
2021-10-14,BNTX,250.33,257.34,249.0,253.13,1710632
2021-10-14,MRNA,331.88,337.36,322.1,329.0,12851338
2021-10-13,AMZN,3284.28,3288.38,3261.0889,3269.71,2425086
2021-10-13,GOOGL,2751.64,2760.0,2730.3763,2748.05,983116
2021-10-13,FB,324.54,327.0,322.66,326.97,14761470
2021-10-13,PFE,41.42,41.91,40.94,41.75,28205715
2021-10-13,BNTX,249.4,250.98,244.5,247.07,1440038
2021-10-13,MRNA,321.5,327.74,313.3,314.9,12770612
2021-10-12,AMZN,3247.33,3267.528,3236.28,3257.0,1819571
2021-10-12,GOOGL,2728.98,2790.14,2715.2,2789.6,1816612
2021-10-12,FB,323.77,324.38,317.37,323.03,31658684
2021-10-12,PFE,41.85,42.21,41.66,42.16,16222295
2021-10-12,BNTX,243.77,248.42,240.13,247.73,1292000
2021-10-12,MRNA,311.13,315.94,301.9101,313.0346,10193213
2021-10-11,AMZN,3246.3,3292.5899,3238.1,3275.0,2034203
2021-10-11,GOOGL,2778.28,2814.24,2777.18,2785.84,897681
2021-10-11,FB,325.45,330.46,325.31,327.625,14708224
2021-10-11,PFE,42.06,42.62,42.01,42.45,11984161
2021-10-11,BNTX,243.02,251.05,240.97,244.0,1244361
2021-10-11,MRNA,305.1,314.11,298.1,299.32,7625781
2021-10-08,AMZN,3288.62,3321.43,3288.2,3317.0,1998217
2021-10-08,GOOGL,2795.71,2806.6207,2784.35,2791.54,1326292
2021-10-08,FB,330.05,333.4,328.71,331.51,15946110
2021-10-08,PFE,42.45,42.905,42.34,42.73,12778598
2021-10-08,BNTX,245.95,257.8999,243.2,252.03,1916118
2021-10-08,MRNA,304.91,314.05,297.5404,310.8,10631839
2021-10-07,AMZN,3302.43,3325.746,3283.06,3291.54,2409075
2021-10-07,GOOGL,2784.5,2800.84,2773.024,2777.84,1255507
2021-10-07,FB,329.22,338.84,328.98,337.0,28307456
2021-10-07,PFE,42.74,42.96,42.21,42.52,19778304
2021-10-07,BNTX,246.57,252.59,232.06,235.8,2585488
2021-10-07,MRNA,309.36,317.3499,293.58,295.46,15790955
2021-10-06,AMZN,3262.01,3264.34,3198.62,3213.53,2532977
2021-10-06,GOOGL,2751.3,2755.0,2691.0,2695.0,1218214
2021-10-06,FB,333.64,334.38,325.8,329.77,26443010
2021-10-06,PFE,42.02,42.2,41.69,42.06,30483844
2021-10-06,BNTX,236.14,248.54,233.75,246.96,2434175
2021-10-06,MRNA,302.42,325.68,300.62,318.71,17457365
2021-10-05,AMZN,3221.0,3260.73,3202.464,3204.5,3269208
2021-10-05,GOOGL,2720.46,2744.49,2680.82,2680.82,1620163
2021-10-05,FB,332.96,335.18,326.1638,328.58,35377947
2021-10-05,PFE,42.32,42.79,42.28,42.53,19342555
2021-10-05,BNTX,250.12,258.0,248.92,253.952,2038466
2021-10-05,MRNA,332.11,338.0328,327.2001,331.0,11637491
2021-10-04,AMZN,3189.78,3279.99,3176.25,3279.39,4523057
2021-10-04,GOOGL,2673.19,2719.21,2621.0,2719.21,2560097
2021-10-04,FB,326.23,335.94,322.7,335.53,42884975
2021-10-04,PFE,42.42,43.345,42.21,42.93,28906548
2021-10-04,BNTX,248.9,252.37,233.5,234.93,3718960
2021-10-04,MRNA,325.84,330.555,305.0,308.88,23331461
2021-10-01,AMZN,3283.26,3309.1746,3255.94,3289.01,2835617
2021-10-01,GOOGL,2730.86,2738.21,2681.46,2688.95,1768009
2021-10-01,FB,343.01,345.02,338.64,341.61,14905311
2021-10-01,PFE,42.93,43.095,41.7,42.52,38482996
2021-10-01,BNTX,254.79,259.24,230.0301,251.0,6885350
2021-10-01,MRNA,341.09,359.115,323.41,358.33,34351288
2021-09-30,AMZN,3285.04,3327.85,3273.99,3316.0,2847033
2021-09-30,GOOGL,2673.52,2710.85,2671.12,2685.23,1901440
2021-09-30,FB,339.39,342.8,338.15,340.445,16547094
2021-09-30,PFE,43.01,44.05,42.97,43.79,21112583
2021-09-30,BNTX,272.99,282.5,268.83,278.14,2639207
2021-09-30,MRNA,384.86,390.6,377.1001,381.82,9611512
2021-09-29,AMZN,3301.12,3351.3,3297.87,3322.11,2562268
2021-09-29,GOOGL,2687.07,2743.02,2677.3,2739.6,1542435
2021-09-29,FB,339.61,345.23,338.88,343.15,14452241
2021-09-29,PFE,43.53,43.69,43.08,43.22,18037241
2021-09-29,BNTX,277.44,292.81,275.58,287.0,2776305
2021-09-29,MRNA,378.9,397.98,375.5543,393.21,11416664
2021-09-28,AMZN,3315.96,3369.19,3290.1001,3357.71,4430819
2021-09-28,GOOGL,2716.6,2781.93,2707.2,2773.1,2288610
2021-09-28,FB,340.65,349.6,338.92,347.97,21710286
2021-09-28,PFE,43.04,43.28,42.43,43.07,28512222
2021-09-28,BNTX,276.52,296.9,275.0,293.7,5854394
2021-09-28,MRNA,384.21,403.2957,376.03,398.56,15935985
2021-09-27,AMZN,3405.8,3415.57,3339.61,3371.5,3634450
2021-09-27,GOOGL,2821.44,2838.7699,2801.35,2816.0853,1094098
2021-09-27,FB,353.58,355.15,347.08,349.805,15205843
2021-09-27,PFE,43.57,44.13,43.51,43.92,19955901
2021-09-27,BNTX,307.09,338.5,305.51,335.3614,4089349
2021-09-27,MRNA,408.84,434.0,407.255,430.6008,13348196
2021-09-24,AMZN,3425.52,3429.26,3393.4,3402.01,2116241
2021-09-24,GOOGL,2844.3,2846.605,2804.82,2810.77,1149195
2021-09-24,FB,352.96,354.35,342.37,343.2387,18801933
2021-09-24,PFE,43.94,44.41,43.81,44.07,16150746
2021-09-24,BNTX,333.48,350.92,332.4,350.0,2603105
2021-09-24,MRNA,430.14,453.61,426.61,448.08,12984587
2021-09-23,AMZN,3416.0,3428.96,3380.05,3380.05,2379414
2021-09-23,GOOGL,2824.32,2833.93,2808.03,2819.75,1047550
2021-09-23,FB,345.96,349.67,343.0,345.355,21806264
2021-09-23,PFE,44.19,44.719,44.15,44.28,19719166
2021-09-23,BNTX,352.99,360.0,341.44,343.0,2824358
2021-09-23,MRNA,454.6,458.5,438.79,439.7851,9620341
2021-09-22,AMZN,3380.05,3389.0,3341.05,3351.0,2411403
2021-09-22,GOOGL,2805.67,2817.74,2771.03,2786.08,1252778
2021-09-22,FB,343.21,349.84,340.6901,347.23,43692859
2021-09-22,PFE,43.95,44.39,43.83,43.99,22616743
2021-09-22,BNTX,339.26,344.57,336.69,342.8028,1480023
2021-09-22,MRNA,440.72,443.73,428.6,433.09,9003453
2021-09-21,AMZN,3343.63,3379.7,3332.39,3375.0,2780878
2021-09-21,GOOGL,2780.66,2800.23,2765.56,2794.99,1266595
2021-09-21,FB,357.48,360.04,355.19,358.5,11751917
2021-09-21,PFE,43.92,44.73,43.85,44.25,23645594
2021-09-21,BNTX,341.35,349.93,337.04,344.77,2455420
2021-09-21,MRNA,434.04,439.59,420.3,424.3,9355333
2021-09-20,AMZN,3355.73,3419.0,3305.01,3396.0,4669130
2021-09-20,GOOGL,2774.39,2780.0,2726.435,2763.23,2325902
2021-09-20,FB,355.7,361.03,349.8,359.3,19822772
2021-09-20,PFE,44.2,44.65,43.39,43.39,41873015
2021-09-20,BNTX,339.01,353.64,333.36,341.205,3322067
2021-09-20,MRNA,423.33,435.4499,416.511,417.5073,12929376
2021-09-17,AMZN,3462.52,3497.41,3452.13,3488.4146,4616556
2021-09-17,GOOGL,2816.0,2869.0,2809.395,2860.61,2669223
2021-09-17,FB,364.72,371.41,361.59,371.0,26298966
2021-09-17,PFE,43.89,44.46,43.31,44.17,56420686
2021-09-17,BNTX,359.18,370.8,344.81,370.74,5646240
2021-09-17,MRNA,430.05,442.0,406.8704,438.53,30536393
2021-09-16,AMZN,3488.24,3492.55,3446.1432,3459.96,2583598
2021-09-16,GOOGL,2872.2,2886.0,2848.03,2879.01,1309771
2021-09-16,FB,373.06,373.56,369.71,372.79,11934217
2021-09-16,PFE,44.47,44.99,44.03,44.88,22424169
2021-09-16,BNTX,372.65,374.85,345.0,350.39,4606777
2021-09-16,MRNA,440.65,446.6399,429.0,431.21,10107389
2021-09-15,AMZN,3475.79,3485.42,3402.01,3442.52,2957537
2021-09-15,GOOGL,2888.59,2889.01,2826.95,2855.43,1370379
2021-09-15,FB,373.92,377.555,367.67,377.0,17940297
2021-09-15,PFE,44.77,45.365,44.47,44.56,28674628
2021-09-15,BNTX,355.25,357.76,337.5,338.11,4545812
2021-09-15,MRNA,434.46,437.8,422.16,427.455,12893644
2021-09-14,AMZN,3450.0,3486.806,3437.7104,3475.55,1936897
2021-09-14,GOOGL,2850.89,2867.26,2835.0,2859.905,983693
2021-09-14,FB,376.53,378.59,375.11,377.4,8711569
2021-09-14,PFE,44.71,45.26,44.545,44.67,24100217
2021-09-14,BNTX,334.88,345.92,326.03,326.17,2850043
2021-09-14,MRNA,427.71,443.76,418.6331,419.27,14736540
2021-09-13,AMZN,3457.17,3497.96,3438.0001,3482.8,2569022
2021-09-13,GOOGL,2846.65,2859.0,2825.0,2838.99,1104692
2021-09-13,FB,376.51,381.75,374.3451,381.68,13026275
2021-09-13,PFE,44.58,45.83,44.2,45.74,37086226
2021-09-13,BNTX,327.14,351.91,322.47,348.1908,3963817
2021-09-13,MRNA,419.72,448.8099,415.0,448.0,15664748
2021-09-10,AMZN,3469.15,3508.45,3462.9055,3501.8308,2397269
2021-09-10,GOOGL,2817.52,2894.37,2814.755,2884.25,1841967
2021-09-10,FB,378.69,383.79,378.26,381.361,11549595
2021-09-10,PFE,45.59,46.35,45.51,46.27,20801502
2021-09-10,BNTX,349.19,363.3,347.5,360.0,3037842
2021-09-10,MRNA,449.38,464.85,448.11,463.1565,12604792
2021-09-09,AMZN,3484.16,3549.99,3480.37,3526.02,2719241
2021-09-09,GOOGL,2870.82,2886.21,2863.55,2876.81,765855
2021-09-09,FB,378.0,379.83,376.565,377.64,9098941
2021-09-09,PFE,46.03,46.7182,45.85,46.47,21695324
2021-09-09,BNTX,351.38,353.48,336.68,338.29,3210677
2021-09-09,MRNA,455.92,459.42,427.09,429.93,22189564
2021-09-08,AMZN,3525.5,3545.63,3495.67,3511.65,3053364
2021-09-08,GOOGL,2873.82,2888.0,2860.0,2882.0,917511
2021-09-08,FB,377.57,380.87,374.79,380.16,11067166
2021-09-08,PFE,46.51,46.79,46.25,46.51,15839626
2021-09-08,BNTX,336.24,352.81,335.26,346.21,2354633
2021-09-08,MRNA,422.9,437.17,418.2,433.72,11477788
2021-09-07,AMZN,3509.29,3528.09,3476.94,3478.0,2741184
2021-09-07,GOOGL,2885.61,2891.3,2872.38,2876.69,1006595
2021-09-07,FB,382.18,382.96,373.15,375.88,10798920
2021-09-07,PFE,46.75,47.5,46.54,46.99,26236854
2021-09-07,BNTX,346.61,347.98,332.2949,334.54,2482234
2021-09-07,MRNA,436.39,438.55,408.96,409.5,15995088
2021-09-03,AMZN,3478.05,3482.67,3436.44,3452.0,2578324
2021-09-03,GOOGL,2874.79,2883.1,2848.01,2861.61,992718
2021-09-03,FB,376.26,377.16,373.11,374.75,7511356
2021-09-03,PFE,46.84,47.03,46.3431,46.9,20834762
2021-09-03,BNTX,334.3,334.31,320.71,328.49,2240824
2021-09-03,MRNA,416.7,416.81,388.68,392.71,13859922
2021-09-02,AMZN,3463.12,3511.9608,3455.0,3494.76,2925594
2021-09-02,GOOGL,2865.74,2910.385,2863.695,2904.32,1617907
2021-09-02,FB,375.28,381.75,374.06,381.5,14838274
2021-09-02,PFE,46.84,46.87,46.13,46.48,26149357
2021-09-02,BNTX,328.53,341.7631,326.66,334.86,2116020
2021-09-02,MRNA,397.66,402.8,390.515,393.13,8909996
2021-09-01,AMZN,3479.0,3527.0,3475.24,3496.396,3629911
2021-09-01,GOOGL,2904.31,2925.075,2897.67,2900.0,1096805
2021-09-01,FB,382.05,384.33,378.81,379.59,11567163
2021-09-01,PFE,46.04,46.2595,45.42,46.19,32900114
2021-09-01,BNTX,332.5,336.5,326.5,334.25,2632182
2021-09-01,MRNA,389.94,394.98,375.2,382.837,11617304
2021-08-31,AMZN,3470.79,3472.58,3395.59,3424.8,4356413
2021-08-31,GOOGL,2893.95,2903.425,2885.62,2902.94,1122438
2021-08-31,FB,379.38,382.759,378.8,379.95,12345350
2021-08-31,PFE,46.07,47.14,45.9318,46.72,34547833
2021-08-31,BNTX,329.19,349.34,327.1,340.2604,3327466
2021-08-31,MRNA,376.69,384.68,370.5,375.91,10922476
2021-08-30,AMZN,3421.57,3445.0,3355.22,3357.425,3192244
2021-08-30,GOOGL,2891.81,2919.41,2883.26,2888.0,1221710
2021-08-30,FB,380.66,381.49,370.52,372.56,13547261
2021-08-30,PFE,46.76,47.16,46.16,46.2,25774352
2021-08-30,BNTX,345.0,360.33,342.7893,351.0,3009981
2021-08-30,MRNA,370.69,389.04,362.8001,369.0,15529765
2021-08-27,AMZN,3349.63,3352.32,3313.75,3333.23,2402369
2021-08-27,GOOGL,2880.08,2890.25,2829.94,2833.05,1439010
2021-08-27,FB,372.63,373.74,364.08,365.1,11219142
2021-08-27,PFE,46.6,47.5,46.53,47.37,32924523
2021-08-27,BNTX,358.48,370.32,354.82,368.79,2332610
2021-08-27,MRNA,382.22,398.98,378.72,398.825,13188484
2021-08-26,AMZN,3316.0,3332.0,3296.0,3299.0,2098761
2021-08-26,GOOGL,2828.81,2848.35,2827.14,2835.0,1030466
2021-08-26,FB,364.38,369.44,364.13,368.375,7888683
2021-08-26,PFE,47.38,48.16,47.3,47.7,29029316
2021-08-26,BNTX,369.99,377.599,366.01,371.0,1927498
2021-08-26,MRNA,400.3,404.67,392.1525,395.45,8904421
2021-08-25,AMZN,3299.18,3321.0,3286.15,3309.87,1680306
2021-08-25,GOOGL,2841.58,2843.7897,2827.52,2832.5,792574
2021-08-25,FB,368.39,370.86,365.4,365.6,9684519
2021-08-25,PFE,47.51,48.28,46.93,48.04,51036771
2021-08-25,BNTX,376.03,376.5399,351.0,360.78,2990633
2021-08-25,MRNA,397.87,413.8,387.97,391.7,14427609
2021-08-24,AMZN,3305.78,3315.4942,3274.58,3280.0,2551841
2021-08-24,GOOGL,2825.23,2841.6,2806.77,2812.23,963361
2021-08-24,FB,365.51,367.9559,361.84,363.66,9235148
2021-08-24,PFE,48.38,50.05,48.24,49.74,52624054
2021-08-24,BNTX,368.2,379.9799,354.2,377.33,4767514
2021-08-24,MRNA,394.94,407.5796,387.56,405.69,13957508
2021-08-23,AMZN,3265.87,3280.9,3210.005,3211.9,3268131
2021-08-23,GOOGL,2800.83,2817.49,2752.15,2759.39,1422670
2021-08-23,FB,363.35,365.69,359.1,359.44,10942007
2021-08-23,PFE,49.93,51.36,49.6,50.29,88652378
2021-08-23,BNTX,382.1,388.0,370.2,373.5165,6934470
2021-08-23,MRNA,411.89,411.97,385.7716,390.34,15796513
2021-08-20,AMZN,3199.95,3207.81,3175.76,3203.8725,3358428
2021-08-20,GOOGL,2748.59,2751.08,2705.0,2720.0,1559658
2021-08-20,FB,359.37,359.9898,353.31,354.6,8697667
2021-08-20,PFE,48.72,49.73,48.66,48.98,35157544
2021-08-20,BNTX,348.68,356.5,333.0,336.35,3978697
2021-08-20,MRNA,382.98,387.4899,369.26,374.5475,13216681
2021-08-19,AMZN,3187.75,3233.0,3182.4637,3194.02,3782862
2021-08-19,GOOGL,2713.6,2727.05,2685.0,2688.71,1089127
2021-08-19,FB,355.12,357.57,351.0,351.345,12004535
2021-08-19,PFE,48.8,49.96,48.26,48.5,57741571
2021-08-19,BNTX,331.81,355.3,330.96,348.7,4638911
2021-08-19,MRNA,375.53,394.9199,375.0,385.0,14254720
2021-08-18,AMZN,3201.22,3254.0975,3200.0,3241.99,2804311
2021-08-18,GOOGL,2708.98,2742.085,2706.43,2730.0,962947
2021-08-18,FB,355.45,359.86,355.15,356.25,10042381
2021-08-18,PFE,49.31,51.86,49.17,50.23,88597980
2021-08-18,BNTX,363.99,374.8,347.03,368.46,4801646
2021-08-18,MRNA,398.8,413.3,386.21,406.5,19121805
2021-08-17,AMZN,3241.96,3280.49,3225.68,3277.5,3387922
2021-08-17,GOOGL,2733.23,2765.31,2721.64,2755.0,1085760
2021-08-17,FB,358.45,364.67,355.07,362.98,12328737
2021-08-17,PFE,50.42,50.49,48.71,48.78,68816994
2021-08-17,BNTX,366.27,366.9499,320.0,322.0,8101604
2021-08-17,MRNA,401.86,402.49,358.5501,361.0,25982136
2021-08-16,AMZN,3298.99,3300.0,3211.13,3283.0,3328494
2021-08-16,GOOGL,2766.19,2767.25,2705.975,2750.4979,1119918
2021-08-16,FB,366.56,366.95,357.38,362.52,11232269
2021-08-16,PFE,48.91,48.97,47.51,48.23,38098084
2021-08-16,BNTX,343.1,369.84,320.05,368.1735,7992458
2021-08-16,MRNA,373.86,379.57,349.0,379.27,23602814
2021-08-13,AMZN,3293.97,3306.065,3283.0,3305.67,2056699
2021-08-13,GOOGL,2754.55,2757.13,2740.66,2745.0,797372
2021-08-13,FB,363.18,364.6607,361.48,362.97,7195724
2021-08-13,PFE,48.48,48.5,47.32,47.41,35379185
2021-08-13,BNTX,377.32,390.0,367.3,387.14,3690440
2021-08-13,MRNA,389.78,406.32,387.1,405.24,16533667
2021-08-12,AMZN,3303.5,3314.51,3269.67,3290.0,2323823
2021-08-12,GOOGL,2743.88,2746.0,2708.51,2719.51,825943
2021-08-12,FB,362.65,363.0,357.11,358.45,7175206
2021-08-12,PFE,47.24,47.4,46.34,46.5,29710226
2021-08-12,BNTX,374.02,391.57,356.01,380.0,7270135
2021-08-12,MRNA,391.42,406.3499,377.09,400.0,34345049
2021-08-11,AMZN,3292.11,3337.7,3277.79,3331.4469,2947249
2021-08-11,GOOGL,2725.58,2753.645,2725.43,2743.63,767600
2021-08-11,FB,359.96,362.36,357.81,362.1,8400332
2021-08-11,PFE,46.31,48.08,46.26,47.78,50878190
2021-08-11,BNTX,359.19,418.0,336.2,413.9,14583677
2021-08-11,MRNA,385.33,453.73,372.0,443.57,53882157
2021-08-10,AMZN,3320.68,3358.0,3315.0,3345.01,2412551
2021-08-10,GOOGL,2736.14,2755.4461,2727.29,2746.84,970704
2021-08-10,FB,361.13,364.1,359.0435,361.825,7469878
2021-08-10,PFE,48.19,48.57,45.89,46.2,81189410
2021-08-10,BNTX,416.5,464.0,411.37,458.0,8240516
2021-08-10,MRNA,456.76,497.49,454.0,485.5,36503719
2021-08-09,AMZN,3341.87,3354.88,3328.52,3343.61,2148220
2021-08-09,GOOGL,2738.26,2743.68,2706.785,2718.85,888300
2021-08-09,FB,361.61,365.775,360.75,363.7623,7798872
2021-08-09,PFE,45.98,46.03,45.11,45.11,32374261
2021-08-09,BNTX,447.23,459.88,403.55,408.23,12022601
2021-08-09,MRNA,484.47,493.7565,409.66,411.3014,42269876
2021-08-06,AMZN,3344.94,3375.0,3329.0373,3375.0,2637644
2021-08-06,GOOGL,2714.77,2729.45,2704.2,2720.84,1024406
2021-08-06,FB,363.51,365.15,361.395,361.4,8925017
2021-08-06,PFE,45.07,45.31,44.63,45.09,20413038
2021-08-06,BNTX,389.01,403.15,368.11,396.0,5695188
2021-08-06,MRNA,413.72,419.26,393.61,410.3,18924646
2021-08-05,AMZN,3375.99,3389.0,3340.92,3356.22,2433503
2021-08-05,GOOGL,2725.03,2727.0,2696.92,2713.61,893450
2021-08-05,FB,362.97,363.9,356.9,359.64,10247207
2021-08-05,PFE,45.06,45.14,44.7,45.0,23505417
2021-08-05,BNTX,404.92,418.31,375.1,406.5,7334023
2021-08-05,MRNA,416.26,443.99,403.0,409.72,25571509
2021-08-04,AMZN,3354.72,3388.88,3345.56,3379.35,2183945
2021-08-04,GOOGL,2702.51,2712.99,2689.74,2706.99,983801
2021-08-04,FB,358.92,360.48,351.51,352.42,14180572
2021-08-04,PFE,45.19,45.8,45.01,45.35,43391242
2021-08-04,BNTX,414.44,433.9,353.79,361.0,13700465
2021-08-04,MRNA,419.05,433.0,377.11,385.0,32251618
2021-08-03,AMZN,3366.24,3391.0,3299.77,3340.72,4157343
2021-08-03,GOOGL,2712.6,2714.64,2666.39,2702.7,1038094
2021-08-03,FB,351.24,353.7699,347.7,352.73,12406054
2021-08-03,PFE,45.68,45.86,44.07,44.17,45643262
2021-08-03,BNTX,351.81,354.08,336.8,341.01,4139851
2021-08-03,MRNA,386.51,386.98,344.5,348.5004,20424075
2021-08-02,AMZN,3331.48,3358.92,3317.0,3353.1,3353915
2021-08-02,GOOGL,2697.09,2706.73,2675.8828,2702.34,1081710
2021-08-02,FB,351.95,359.4,350.74,358.1,13180439
2021-08-02,PFE,43.96,44.14,43.25,43.3,43066940
2021-08-02,BNTX,340.21,353.64,333.18,345.26,5016335
2021-08-02,MRNA,346.61,365.6,343.2,360.0,13685923
2021-07-30,AMZN,3327.59,3368.14,3306.98,3347.95,9965593
2021-07-30,GOOGL,2694.53,2706.09,2685.1,2700.7,1278789
2021-07-30,FB,356.3,360.73,352.94,354.0,15976179
2021-07-30,PFE,42.81,43.185,42.69,42.88,24763344
2021-07-30,BNTX,328.35,331.0,308.24,315.01,4033829
2021-07-30,MRNA,353.6,359.9,342.28,346.9,11345689
2021-07-29,AMZN,3599.92,3637.95,3580.01,3627.75,5519952
2021-07-29,GOOGL,2715.55,2733.2203,2710.86,2723.0,1585786
2021-07-29,FB,358.32,365.52,356.74,361.0,33413244
2021-07-29,PFE,42.79,43.3,42.6212,43.23,29015020
2021-07-29,BNTX,312.59,328.7,303.46,327.7926,4094224
2021-07-29,MRNA,345.64,351.2199,336.0,350.64,10100729
2021-07-28,AMZN,3630.32,3658.4204,3601.0,3633.78,2999378
2021-07-28,GOOGL,2721.88,2765.94,2705.55,2726.239,4756530
2021-07-28,FB,373.28,377.5499,366.93,374.56,29676910
2021-07-28,PFE,43.06,43.347,41.871,41.97,54309926
2021-07-28,BNTX,313.45,315.16,282.5,289.0,4880646
2021-07-28,MRNA,349.32,350.99,327.5,333.01,13091567
2021-07-27,AMZN,3626.39,3698.5,3586.15,3698.5,4131890
2021-07-27,GOOGL,2638.0,2687.98,2602.08,2685.01,2735474
2021-07-27,FB,367.81,373.15,364.55,371.91,15705447
2021-07-27,PFE,41.722,41.821,41.207,41.445,32838828
2021-07-27,BNTX,284.0,296.46,272.183,293.0,4318824
2021-07-27,MRNA,328.5,344.889,318.29,335.3088,17196688
2021-07-26,AMZN,3699.82,3712.08,3647.25,3673.17,2900068
2021-07-26,GOOGL,2680.7,2684.74,2646.03,2666.565,1528574
2021-07-26,FB,372.46,374.44,368.22,369.58,14925222
2021-07-26,PFE,41.435,41.564,41.018,41.246,23934863
2021-07-26,BNTX,286.26,297.7299,276.68,289.5,4025303
